编号,组织名称,中促会,民促会,联合国,成立时间,出海时间,领导人,重要员工,资本类型,注册地,注册形式,捐赠金额（出海前）标注年份,,捐赠金额（出海后）,,官网的组织理念,组织结构（参考年报）,是否有独立的海外办公室——组织结构,官网关于海外项目的组织理念——目标,海外项目的名称,海外涉及的地区,海外服务内容,服务形式,主要成员是否有官方背景,主要信息来源,是否有网上披露,是否持续性披露,走出去程度
39,广西环保联合会,0,1,0,2010 年,——,会长董祖敬,——,——,广西省南宁市,社会团体,——,——,——,——,培训和咨询、宣传教育、论坛、会展、维护公众环境权益，公益活动，承办政府部门委托事项，国内外环保交流,——,否,——,——,——,——,——,——,新闻、微信公众号,是,否,海外交流访问
40,广州市黄埔区心灵家园服务中心,0,1,0,2012 年 ,——,孙鸿松,——,——,广东省广州市,服务机构,——,——,——,——,爱人如已，服务社区,——,否,——,——,——,——,——,——,新闻、官网,是,是,海外交流访问
41,广州市社会组织联合会,0,1,0,1994 年,——,冯耀良,欧阳兵、焦杨等,——,广东省广州市,非营利性的社会组织,——,——,——,——,凝聚社会组织力量，服务社会组织需求，引领社会组织发展，提升社会组织能力，发挥社会组织作用，扩大社会组织影响，打造社会组织品牌，维护社会组织及其从业人员合法权益，充分发挥社会组织服务国家、服务社会、服务群众、服务行业的积极作用,理事会、秘书处，秘书处下设业务部、培训部、会员部和综合部,否,——,——,——,——,——,是,新闻、官网,是,否,海外交流访问
42,广州市法泽社会工作服务中心,0,1,0,2013 年,——,吴治平,——,——,广东省广州市,民办非企业,——,——,——,——,做推动流动人口社区基层治理创新的民间智库,——,否,——,——,——,——,——,是,新闻、微信公众号,是,是,海外交流访问
43,贵阳南明区爱心家园儿童特殊教育康复训练中心,0,1,0,2003年成立支援中心，2006年转行为专门针对孤独症儿童的康复训练机构,——,赵新玲,吴成平、刘仁敏、张鹏、李玉娟等,——,贵州省贵阳市,民办非企业,——,——,——,——,愿景：孤独症、智力障碍及相关发育障碍群体在包容的社会里拥有平等的权利和机会，享受有尊严、有品质的生活。使命：帮助孤独症、智力障碍及相关发育障碍群体争取共同权益，通过社会倡导、教育培训、交流合作，全心全意为儿童及家庭服务，以促进其融入社会，提高生活品质。目标：形成自闭症及相关发育障碍的儿童教育康复体系。,——,否,——,——,——,——,——,是,新闻、抖音百科,是,是,海外交流访问
44,长垣市绿色未来环境保护协会,0,1,0,2010,——,负责人宋克明,——,——,河南省新乡市长垣县,社会团体,——,——,——,——,协会的使命是关注生态环境，共创绿色未来,——,否,——,——,——,——,——,否,新闻、抖音百科,是,是,海外交流访问
45,贵州省联合慈善医疗援助中心,1,0,0,2018,2020,法定代表李军华、理事长张长明,筹募外联部部长李兴会,——,贵阳,民办非企业,——,——,——,——,联合社会各界资源，汇集公益力量，开展全方位、多维度的慈善医疗援助，赋能基层医疗机构，救助大病、罕见病、意外伤害等困境群体,——,否,帮助弱势群体改善医疗状况，实施了大病、罕见病、意外伤害等救助项目；服务困境群众，开展医疗援助,一带一路·国际慈善医疗援助,——,开展慈善医疗援助项目,直接服务,否,新闻、职友集、百度,是,是,海外项目
46,蓝丝带海洋保护协会,1,1,0,2005年,2015,创始会长孙冬，现任会长郑文春,尹嘉、王思贤、杨晓海、彭华、韩玉、邓勇波、邢庆生、边玉琴、张杨、张国庆、张玖壹、蒲冰梅、初腾飞、郝鹏、陶师正、卢徐杰、符利亚、黎岳,——,三亚,社会团体,——,——,——,——,使命：保护海洋生态，人海和谐共生。行动纲领：团结一切力量，保护美丽海洋。价值观：保护海洋就是保护我们自己,——,否,使命：保护海洋生态，人海和谐共生。行动纲领：团结一切力量，保护美丽海洋。价值观：保护海洋就是保护我们自己,中欧清洁能源远程培训项目、蓝丝带志愿者第三次赴美参加环保研修、UNDP/GEF黄海大海洋生态系项目等, 意大利、法国、德国等欧盟国家，美国，,承办三亚“清洁能源政策与国际经验”远程培训、文化交流为黄海大海洋项目献计献策、关注海上垃圾等,直接和间接服务,否,新闻、官网,是,否,海外项目
47,佳木斯市科教文可持续发展协会,0,1,0,2007年,——,首任会长毕可弟,——,——,黑龙江省佳木斯市,社会团体,——,——,——,——,协会致力于推动佳木斯市科教文领域的可持续发展，通过整合社会资源、开展各类活动，促进科技教育普及、文化传承与创新以及可持续发展理念的推广。,——,否,——,——,——,——,——,是,新闻、百度,是,是,海外交流访问
48,绥化市节水协会,0,1,0,2008年,——,法定负责人刘立德,——,——,绥化,社会团体,——,——,——,——,——,——,否,——,——,——,——,——,——,新闻,是,是,海外交流访问
49,新疆红石慈善基金会,1,1,0,2009 年,——,余立军,——,——,新疆,民间非营利组织（后转为公募）,——,——,——,——,弘扬人道主义、致力于扶贫帮困、赈灾救难、关爱妇女老年儿童以及贫困地区青少年成长、支持公益慈善事业，促进社会进步,——,否,——,——,——,——,——,否,新闻、官网,是,是,海外交流访问
50,江苏省荣昌济困基金会,1,1,0,2018年,——,法定代表人乐业,秘书长褚建平、顾问侯兴华、项目负责人蔡静,——,江苏,基金会,——,——,——,——,秉持“济困以荣斯民 、扶危乃昌其国”之创建初心，积极参与国家脱贫攻坚行动，依托最基层信息需求、最基层组织服务，实现最基本保障资助,——,否,——,——,——,——,——,否,新闻、百度、官网,是,是,海外交流访问
